LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
73m         Normal    Pulled              pod/crashloop-demo-89b787cbd-b22jl      Container image "crashloop-demo:v2" already present on machine and can be accessed by the pod
73m         Normal    Started             pod/crashloop-demo-89b787cbd-b22jl      Container started
73m         Normal    Created             pod/crashloop-demo-89b787cbd-b22jl      Container created
73m         Normal    Started             pod/crashloop-demo-89b787cbd-pd7hc      Container started
73m         Normal    Created             pod/crashloop-demo-89b787cbd-pd7hc      Container created
73m         Normal    Pulled              pod/crashloop-demo-89b787cbd-pd7hc      Container image "crashloop-demo:v2" already present on machine and can be accessed by the pod
73m         Warning   BackOff             pod/crashloop-demo-89b787cbd-b22jl      Back-off restarting failed container application in pod crashloop-demo-89b787cbd-b22jl_troubleshooting-lab(363d1db2-3f58-4b6a-86e9-33dbe69b1a9e)
72m         Warning   BackOff             pod/crashloop-demo-89b787cbd-pd7hc      Back-off restarting failed container application in pod crashloop-demo-89b787cbd-pd7hc_troubleshooting-lab(4302e2d3-b4bc-49df-9ac9-5555e9239699)
72m         Normal    Started             pod/crashloop-demo-58fff4847-99d9h      Container started
72m         Normal    SuccessfulCreate    replicaset/crashloop-demo-58fff4847     Created pod: crashloop-demo-58fff4847-99d9h
72m         Normal    ScalingReplicaSet   deployment/crashloop-demo               Scaled up replica set crashloop-demo-58fff4847 from 0 to 1
72m         Normal    Scheduled           pod/crashloop-demo-58fff4847-99d9h      Successfully assigned troubleshooting-lab/crashloop-demo-58fff4847-99d9h to troubleshooting-lab-worker
72m         Normal    Pulled              pod/crashloop-demo-58fff4847-99d9h      Container image "crashloop-demo:v2" already present on machine and can be accessed by the pod
72m         Normal    Created             pod/crashloop-demo-58fff4847-99d9h      Container created
72m         Normal    Scheduled           pod/crashloop-demo-58fff4847-szbb6      Successfully assigned troubleshooting-lab/crashloop-demo-58fff4847-szbb6 to troubleshooting-lab-worker2
72m         Normal    SuccessfulDelete    replicaset/crashloop-demo-89b787cbd     Deleted pod: crashloop-demo-89b787cbd-b22jl
72m         Normal    ScalingReplicaSet   deployment/crashloop-demo               Scaled up replica set crashloop-demo-58fff4847 from 1 to 2
72m         Normal    SuccessfulCreate    replicaset/crashloop-demo-58fff4847     Created pod: crashloop-demo-58fff4847-szbb6
72m         Normal    ScalingReplicaSet   deployment/crashloop-demo               Scaled down replica set crashloop-demo-89b787cbd from 2 to 1
72m         Normal    Pulled              pod/crashloop-demo-58fff4847-szbb6      Container image "crashloop-demo:v2" already present on machine and can be accessed by the pod
72m         Normal    Created             pod/crashloop-demo-58fff4847-szbb6      Container created
72m         Normal    Started             pod/crashloop-demo-58fff4847-szbb6      Container started
