LAST SEEN   TYPE      REASON             OBJECT                     MESSAGE
4m19s       Normal    SuccessfulCreate   statefulset/stateful-web   Create Pod stateful-web-0 in StatefulSet stateful-web successful
27m         Normal    SuccessfulDelete   statefulset/stateful-web   Delete Pod stateful-web-0 in StatefulSet stateful-web successful
27m         Normal    Killing            pod/stateful-web-0         Stopping container nginx
27m         Normal    Scheduled          pod/stateful-web-0         Successfully assigned troubleshooting-lab/stateful-web-0 to troubleshooting-lab-worker
27m         Normal    Pulled             pod/stateful-web-0         Container image "busybox:1.36" already present on machine and can be accessed by the pod
27m         Normal    Created            pod/stateful-web-0         Container created
27m         Normal    Started            pod/stateful-web-0         Container started
24m         Normal    Created            pod/stateful-web-0         Container created
25m         Normal    Started            pod/stateful-web-0         Container started
13m         Normal    Pulled             pod/stateful-web-0         Container image "nginxinc/nginx-unprivileged:1.27-alpine" already present on machine and can be accessed by the pod
22m         Warning   Unhealthy          pod/stateful-web-0         Readiness probe failed: Get "http://10.244.3.10:80/": dial tcp 10.244.3.10:80: connect: connection refused
12m         Warning   Unhealthy          pod/stateful-web-0         Liveness probe failed: Get "http://10.244.3.10:80/": dial tcp 10.244.3.10:80: connect: connection refused
12m         Normal    Killing            pod/stateful-web-0         Container nginx failed liveness probe, will be restarted
17m         Warning   BackOff            pod/stateful-web-0         Back-off restarting failed container nginx in pod stateful-web-0_troubleshooting-lab(a10c35d5-b9f1-4403-b80c-cffc8c68a388)
10m         Normal    Created            pod/stateful-web-0         Container created
10m         Normal    Pulled             pod/stateful-web-0         Container image "busybox:1.36" already present on machine and can be accessed by the pod
10m         Normal    Started            pod/stateful-web-0         Container started
10m         Normal    Scheduled          pod/stateful-web-0         Successfully assigned troubleshooting-lab/stateful-web-0 to troubleshooting-lab-worker
10m         Normal    Pulled             pod/stateful-web-0         Container image "nginxinc/nginx-unprivileged:1.27-alpine" already present on machine and can be accessed by the pod
10m         Normal    Created            pod/stateful-web-0         Container created
10m         Normal    Started            pod/stateful-web-0         Container started
4m20s       Normal    Killing            pod/stateful-web-0         Stopping container nginx
4m20s       Warning   Unhealthy          pod/stateful-web-0         Readiness probe failed: Get "http://10.244.3.11:8080/": dial tcp 10.244.3.11:8080: connect: connection refused
4m19s       Normal    Scheduled          pod/stateful-web-0         Successfully assigned troubleshooting-lab/stateful-web-0 to troubleshooting-lab-worker
4m18s       Normal    Started            pod/stateful-web-0         Container started
4m18s       Normal    Pulled             pod/stateful-web-0         Container image "nginxinc/nginx-unprivileged:1.27-alpine" already present on machine and can be accessed by the pod
4m18s       Normal    Created            pod/stateful-web-0         Container created
4m18s       Normal    Started            pod/stateful-web-0         Container started
4m18s       Normal    Created            pod/stateful-web-0         Container created
4m18s       Normal    Pulled             pod/stateful-web-0         Container image "busybox:1.36" already present on machine and can be accessed by the pod
